logP,TPSA(Tot),HBA,HBD,nN,nO,n(N+O)
-3.5447000000000086,393.7399999999999,15,14,11,13,24
-1.5542299999999911,267.75,9,10,10,7,17
-5.449000000000015,613.2299999999999,23,24,18,19,37
-16.708290000000407,1993.199999999998,65,67,59,64,123
-14.616860000000088,1447.8999999999992,48,51,43,43,86
-17.242620000000286,1826.5699999999986,59,63,54,58,112
-15.162090000000315,1836.2499999999984,61,63,56,58,114
-5.047989999999923,917.74,31,35,30,26,56
-20.005030000000314,1743.9599999999987,60,58,49,61,110
-4.461289999999925,917.74,31,35,30,26,56
-33.25462000000005,2531.150000000001,87,90,76,76,152
-11.441299999999888,993.4300000000003,37,37,25,35,60
-9.537230000000054,1305.6399999999996,46,47,40,42,82
-21.03423000000034,1764.1899999999987,61,59,49,62,111
-13.883090000000047,1332.4399999999994,42,44,44,36,80
-19.80583000000028,1700.2699999999988,61,60,47,59,106
-25.05046000000041,1718.0699999999986,59,60,51,54,105
-17.541820000000115,1435.889999999999,45,53,43,43,86
-0.4555999999999936,199.95,8,7,5,7,12
-0.16259999999999392,199.95,7,7,5,7,12
0.1723000000000039,182.36999999999998,7,5,5,7,12
-0.015299999999999037,162.05999999999997,6,5,4,6,10
-19.736730000000225,1596.099999999999,61,62,48,50,98
-17.54586000000027,1647.4899999999986,63,62,55,50,105
-5.733500000000011,406.73999999999995,13,14,10,15,25
-15.857620000000244,1765.7099999999987,58,59,52,57,109
-35.13657999999898,4093.620000000013,132,139,116,136,252
-21.703090000000177,2521.220000000001,88,94,73,83,156
-26.164860000000193,2185.359999999999,75,71,68,70,138
-13.819290000000327,1722.3699999999985,54,59,55,51,106
-15.312530000000317,1673.4699999999984,56,55,52,51,103
-3.9238600000000217,589.6,19,23,21,16,37
-17.583060000000128,1424.3199999999993,47,47,45,41,86
-16.250420000000243,1756.9299999999987,56,61,52,55,107
-5.19562999999998,692.31,25,26,22,21,43
1.3404999999999796,510.3799999999998,19,17,16,15,31
-2.2060999999999984,158.82,6,6,3,6,9
-2.2561299999999935,261.34,8,8,8,8,16
-3.6379899999999585,661.6999999999999,20,25,24,15,39
-4.340500000000008,355.84999999999997,12,10,10,12,22
-18.419330000000183,1512.1799999999992,51,54,41,51,92
-4.240429999999995,232.75,7,9,7,6,13
-1.123530000000016,493.21999999999986,16,17,17,14,31
-5.792099999999945,908.63,36,36,25,32,57
-0.20609999999999312,377.63999999999993,14,13,9,14,23
-1.0697999999999985,98.74000000000001,4,3,3,4,7
-0.36402999999999525,352.49,11,13,12,9,21
-4.247130000000012,426.5399999999999,15,16,13,12,25
-1.2226999999999881,286.32000000000005,11,8,9,10,19
-0.9053299999999984,174.55,5,7,5,4,9
-0.21709999999999124,258.15,10,10,7,9,16
-0.21709999999999124,258.15,10,10,7,9,16
-10.400059999999892,1004.6600000000002,33,37,29,30,59
-11.337559999999868,1024.89,33,37,29,31,60
-12.20328999999988,1060.7700000000002,33,39,31,31,62
-13.069019999999895,1096.65,33,41,33,31,64
-10.043019999999874,917.6000000000001,30,32,34,24,58
-10.300119999999872,995.6100000000001,33,35,37,26,63
-5.300400000000014,456.0699999999999,15,16,11,17,28
-5.130930000000018,455.6399999999999,16,17,14,13,27
-3.861399999999996,207.7,6,6,5,6,11
-14.555630000000045,1425.4599999999991,46,48,42,45,87
-15.73383000000023,1768.869999999998,59,60,53,58,111
-17.219759999999976,1128.0500000000002,45,48,35,33,68
-19.21696000000007,1266.6399999999999,48,52,38,38,76
-18.488790000000073,1297.1399999999996,50,54,43,36,79
-22.677790000000243,1615.079999999999,62,65,51,49,100
-4.635460000000003,366.84,10,14,12,8,20
-4.242799999999999,326.59,11,11,7,11,18
-4.209229999999959,906.0899999999999,29,32,26,29,55
-1.1743999999999897,321.4,11,12,9,11,20
-8.991659999999897,1054.2300000000002,34,35,33,32,65
-2.559159999999993,676.89,21,23,20,21,41
1.5441000000000091,246.27999999999997,9,8,7,8,15
-2.995199999999996,335.53999999999996,13,12,9,11,20
-2.9861999999999926,315.22999999999996,12,12,8,10,18
-8.220159999999924,908.08,29,34,31,25,56
-4.951230000000009,539.7799999999999,17,19,16,15,31
0.8351699999999744,549.7699999999998,19,20,18,16,34
-10.064889999999993,1154.0799999999997,36,41,38,30,68
-1.629699999999997,150.02999999999997,5,4,3,6,9
-5.745000000000013,416.3,14,14,8,16,24
1.7554000000000118,314.47999999999996,11,11,9,11,20
1.2245000000000101,285.38,10,10,8,10,18
0.6936000000000073,256.28,9,9,7,9,16
-1.0805300000000133,448.5699999999999,14,16,14,13,27
-1.3621300000000074,390.3699999999999,12,14,12,11,23
-4.314899999999939,931.5600000000001,33,33,31,27,58
-21.576800000000276,1615.8599999999988,45,63,64,31,95
-21.65830000000027,1610.6599999999987,45,64,64,31,95
-21.65830000000027,1610.6599999999987,45,64,64,31,95
-7.424329999999984,1273.3899999999996,42,48,37,41,78
-0.7924300000000031,340.35999999999996,12,13,11,10,21
-0.792429999999996,340.35999999999996,12,13,11,10,21
-9.566689999999948,714.62,23,29,26,18,44
-0.9792999999999998,83.63000000000001,3,2,2,3,5
-1.2298999999999989,103.86,4,3,2,4,6
-17.583060000000128,1424.3199999999993,47,47,45,41,86
-6.570819999999929,755.3299999999998,22,30,28,14,42
-13.055140000000158,1476.439999999999,43,59,56,27,83
-7.822749999999889,846.3299999999998,24,34,32,15,47
0.34490000000000015,98.74000000000001,4,3,3,4,7
-4.4021000000000114,448.0299999999999,14,14,10,16,26
-5.932400000000012,361.59,13,12,10,12,22
-5.49370000000001,370.21,13,12,8,14,22
-14.076759999999965,1167.31,39,43,34,35,69
-5.970100000000019,564.7899999999997,20,20,17,18,35
-2.552230000000021,530.0799999999998,17,19,16,17,33
-5.970100000000022,564.79,20,20,17,18,35
-2.552230000000022,530.0799999999997,17,19,16,17,33
0.23070000000000362,150.61999999999998,5,5,4,5,9
1.4040999999999992,150.61999999999998,5,5,4,5,9
0.2711000000000056,186.64,6,7,5,6,11
-9.230269999999871,969.6199999999998,23,41,40,14,54
-11.35386999999989,853.2199999999998,19,37,36,10,46
-1.1033600000000048,601.4399999999998,19,24,21,16,37
